,SCQ,OSM Aviation Academy,SCAVAC,"Norway, Sweden and San Diego",
SK,SAS,Scandinavian Airlines,SCANDINAVIAN,"Sweden, Denmark and Norway",
,APF,Amapola Flyg AB,AMAPOLA,Sweden,
,HMF,Norrlandsflyg,LIFEGUARD SWEDEN,Sweden,
U6,SVR,Ural Airlines,SVERDLOVSK AIR,Russia,
,DFL,Babcock AirAmbulance,,Sweden,
FR,RYR,Ryanair,RYANAIR,Ireland,
,KTB,Transaviabaltika,TRANSBALTIKA,Lithuania,
LO,LOT,LOT Polish Airlines,POLLOT,Poland,
CA,CCA,Air China,AIR CHINA,China,
KL,KLM,KLM,KLM,Netherlands,
FV,SDM,Rossiya,RUSSIA,Russia,Airline merged with Pulkovo Aviation Enterprise and renamed to Rossiya
LH,GEC,Lufthansa Cargo,LUFTHANSA CARGO,Germany,
IK,KAR,Ikar,IKAR,Russian Federation,
KE,KAL,Korean Air,KOREANAIR,South Korea,
,ART,Aerotal Aerolíneas Territoriales de Colombia Ltda.,AEROTAL,Colombia,
R3,SYL,Aircompany Yakutia,AIR YAKUTIA,Russia,
BT,BTI,Air Baltic,AIRBALTIC,Latvia,
BA,BAW,British Airways,SPEEDBIRD,United Kingdom,
SN,BEL,Brussels Airlines,BEE-LINE,Belgium,
VS,VIR,Virgin Atlantic,VIRGIN,United Kingdom,
AY,FIN,Finnair,FINNAIR,Finland,
AF,AFR,Air France,AIRFRANS,France,
W6,WZZ,Wizz Air,WIZZAIR,Hungary,
FL,LPA,Air Leap,LEAP,Sweden,[7]
OS,AUA,Austrian Airlines,AUSTRIAN,Austria,
LH,DLH,Lufthansa,LUFTHANSA,Germany,
